id,title,description,genres,imdb_rating,views,ismovie,media_type_name,lang_id,language_name
16924,Dracula On Holiday,"Travelling from Transylvania to Scotland by train, the Count's two companions, Lucy and Renfield, try to get the Count over his many fears: sunlight, crosses, bibles, running water, garlic, food and drink.",Comedy,3.6,12703,1,Movie,1,English
16925,Wind Walkers,A former soldier and his buddies fall prey to an ancient Native American curse while hunting in the Florida wilderness,"Action, Horror",3.5,44071,1,Movie,1,English
16926,Broken 2021,"What starts as just another delivery becomes the catalyst for life-shattering trouble. With Brian injured and evidence mounting against them, three friends find themselves on the run from the law. In a panic, Brian turns to his mentor and ringleader, Bear, and together they come up with a perfect scheme of betrayal and murder.","Drama, Thriller, Crime",4.7,24317,1,Movie,1,English
16927,The Beehive,"When peat cutter Barry Drone tries to woo the widow Betty Queen, landlady of The Beehive Inn, he finds her unresponsive. He devises a plan for Ben Wasp to pretend to be a burglar so that he can save her.",Comedy,7.1,12140,1,Movie,1,English
16928,The Avenger,"After Matt Hollis wife is attacked and his daughter is kidnapped, he recruits his ex-special forces buddy in a violent rescue mission.",Action,4.7,132389,1,Movie,1,English
16929,The Experience,A girl is sent to a ranch for juvenile delinquents in order to improve her attitude to life,Drama,5.0,51726,1,Movie,1,English
16930,The Alliance,"Drug dealers call a truce and form an alliance, but after 20 years, one member is forced to kill the others.","Action, Crime",5.3,42377,1,Movie,1,English
16931,Mia and the Dragon Princess,"Mia, a plucky barmaid, has her life thrown into chaos when a mysterious woman turns up at her workplace, on the run from a group of violent thugs and unable to speak English.","Action, Fantasy, Crime",3.9,15415,1,Movie,1,English
16932,The Perception,An inspired writer. An aspiring actress. A house with a dark history.,"Mystery, Thriller",4.7,22770,1,Movie,1,English
16933,The Irish Mob,Dublin crime boss Val Fagan leads a violent bloody and ruthless gang who are the main target of Garda detectives after an audacious cash depot robbery.,Crime,4.8,396254,1,Movie,1,English
16934,Three and Out,A London tube driver considers pursuing a third fatal accident to collect a huge payout.,"Comedy, Drama",6.2,64357,1,Movie,1,English
16935,PawParazzi,A Hollywood starlet arrives at a farm with her pampered pomeranian to shoot for a film but she is in for numerous surprises and shocks before she learns the true value of people.,Family,3.6,6289,1,Movie,1,English
16936,A Small Fortune,"When a desperate man finds a lost bag of money off the shores of Prince Edward Island, his decision to keep it turns his quaint fishing village into a growing crime scene","Thriller, Crime",5.4,52227,1,Movie,1,English
16937,Lucky U Ranch,"In 1953, 11-year-old Junior McCaully is ready to call it quits. Chubby, bullied, and stuck at a dead-end Arizona trailer court with his mum, nothing prepares him for the arrival of Melissa, a sophisticated Hollywood girl who changes everything.","Drama, Family",7.7,97707,1,Movie,1,English
16938,Fare,"When Eric's day turns to night, and he takes the evening's last fare, he finds himself face to face with the source of his troubles. Eric's unsuspecting passenger is a man who doesn't know this cab driver from any other. When Eric recognizes the man as the one who is secretly sleeping with his wife, the events that are set set in motion threaten the lives of everyone who sets foot inside the car.","Horror, Mystery",4.4,100705,1,Movie,1,English
16940,City of Vultures 3,"While community advocates urge him to leave the drug trade behind, Richard Steele dives deeper than ever into a life of drugs and violence.",Thriller,6.0,50841,1,Movie,1,English
16941,Foreign Land,Two strangers with different stories find themselves in the dangerous border towns which are infested with ruthless criminal groups,"Drama, Family",4.9,41840,1,Movie,1,English
16942,A Prayer for the Damned,"Thirteen years after the American Civil War, several mysterious characters converge upon a strange New Mexico Territory town on a quest for a lost Confederate fortune","Action, Western",4.4,113808,1,Movie,1,English
16943,Vengeance Turns,Vengeance turns Rebecca Falcon into a ruthless warrior following the slaughter of her husband and children.,Western,6.2,14025,1,Movie,1,English
16944,Alice and the Vampire Queen,"Ex-con Alice Oldman struggles to overcome the scars from her past. One night, a dark stranger gives her an offer she cannot refuse: she must make one special dish for his boss, the Vampire Queen.",Horror,6.6,255381,1,Movie,1,English
16945,Lou,Lou's life undergoes a radical change when her father abandons his mother and sisters. She blames her mother for this separation and grows up with a shell around her.,Drama,6.4,858719,1,Movie,1,English
16946,Against the Clock,"Kelley Chandler gets injured while on a mission, making him grip for survival on life support. His wife Tess, a former CIA operative, does everything it takes to find out what happened to her husband.","Action, Thriller",2.5,46037,1,Movie,1,English
16947,Adam Resurrected,"Adam, a circus performer, is spared from the concentration camp and forced to entertain a Nazi commander. When he is a patient at an asylum, he identifies with a young boy raised in a basement.","Drama, War",6.2,611349,1,Movie,1,English
16948,American Parent,"Bette, a free-spirited new mom, begins weaning her 1-yr old daughter in order to return to work for a Chicago theatre as pandemic restrictions are lifted. Her wife, Elsie, hustles in the gig economy as an adjunct theology professor.",Drama,7.5,46682,1,Movie,1,English
16949,Sometimes Always Never,"A family is blessed with exceptional vocabulary while playing scrabble. However, they cannot put these words to use on an everyday basis and hence, they struggle to communicate with each other.","Comedy, Thriller",6.3,88068,1,Movie,1,English
16950,Guardians,A charismatic minister's sermons transport his congregation back to biblical times while he works with guardian angels to save people in modern day life-threatening situations.,Drama,7.0,108533,1,Movie,1,English
16951,And God Made Man,"Lindsay loses a scholarship to a transgender athlete. Her father fights for fairness, facing legal challenges. The case involves faith, science and political issues.",Drama,4.6,90387,1,Movie,1,English
16952,The Devil is a Lie,"Blaming God for his son's overdose, a schizophrenic father teeters between salvation and destruction as an Angel and the Devil battle for his soul-while his wife fights to save what's left of their family.","Drama, Thriller",6.0,57424,1,Movie,1,English
16953,Hong Kong '97,"Hong Kong 97 takes place, appropriately enough, in Hong Kong right before the transfer of power from Britain to China. Reginald Cameron, an assassin affiliated with a large corporation with interests in the colony, guns down key members of the Chinese envoy which will take charge of Hong Kong the next day. Suddenly, he becomes a target for every two-bit mercenary in the city. With the help of his company mentor (Brion James), a clueless friend (Tim Thomerson), and his ex-girlfriend (Ming-Na Wen), Cameron must unravel the motives behind his sudden target status and escape Hong Kong alive.","Action, Thriller",4.5,8774,1,Movie,1,English
16954,Smile as You Kill,"With only a few months to live, a desperate man kidnaps a successful advertising director and makes one demand: Create an online campaign to pay for treatment - or share his fate.","Comedy, Thriller, Crime",4.4,9479,1,Movie,1,English
